Title,Character,Domestic,International,Total,Year,Genre,Role,Freshness,Rating
Mission: Impossible - Rogue Nation,Ethan Hunt ,195042377,505825986,700868363,2015,Action,Lead,92,PG-13
Edge of Tomorrow,Lt. Col. Bill Cage ,100206256,264200000,364406256,2014,Action,Lead,90,PG-13
Oblivion,Jack ,89107235,198809398,287916633,2013,Thriller,Lead,54,PG-13
Jack Reacher,Jack Reacher ,80070736,137300000,217370736,2012,Drama,Lead,62,PG-13
Rock of Ages,Stacie Jaxx ,38518613,11600000,50118613,2012,Muscial,Supporting,41,R
Mission: Impossible - Ghost Protocol,Ethan Hunt ,209397903,485315327,694713230,2011,Action,Lead,93,PG-13
Knight and Day,Roy Miller  ,76423035,182328335,258751370,2010,Action,Lead,52,PG-13
Valkyrie,Col. Claus von Stauffenberg ,83077762,120824345,203902107,2008,Thriller,Lead,62,PG-13
Tropic Thunder,Lee Grossman ,110461307,80629943,191091250,2008,Comedy,Supporting,83,R
Lions for Lambs,Senator Jasper Irving ,14998070,48213018,63211088,2007,Drama,Lead,27,R
Mission: Impossible III,Ethan Hunt ,133501348,264000000,397501348,2006,Action,Lead,70,PG-13
War of the Worlds,Ray Ferier ,234280354,372556181,606836535,2005,Action,Lead,74,PG-13
Collateral,Vincent ,100170152,117500000,217670152,2004,Action,Lead,86,R
The Last Samurai,Capt. Nathan Algren ,111110575,345700000,456810575,2003,Action,Lead,65,R
Austin Powers in Goldmember,Famous Austin Powers ,213117789,79620837,292738626,2002,Comedy,Supporting,54,PG-13
Minority Report,Officer John Anderton ,132024714,226800000,358824714,2002,Action,Lead,90,PG-13
Space Station,Narrator ,93136620,33282126,126418746,2002,Documentary,Narrator,87,
Vanilla Sky,David Ames ,100614858,102111747,202726605,2001,Thriller,Lead,41,R
Mission: Impossible 2,Ethan Hunt ,215409889,334178627,549588516,2000,Action,Lead,58,PG-13
Magnolia,Frank T.J. Mackey ,22450975,25995827,48446802,1999,Drama,Lead,84,R
Eyes Wide Shut,Dr. William Harford ,55637680,48576235,104213915,1999,Drama,Lead,74,R
Jerry Maguire,Jerry Maguire ,153620822,120047408,273668230,1999,Comedy,Lead,85,R
Mission: Impossible,Ethan Hunt ,180891004,276716108,457607112,1996,Action,Lead,62,PG-13
Interview with the Vampire: The Vampi…,Lestat ,105163524,118300000,223463524,1994,Horror,Lead,61,R
The Firm,Mitch McDeere ,158340892,112000000,270340892,1993,Thriller,Lead,75,R
A Few Good Men,Lt. Daniel Kaffee ,140525790,95159822,235685612,1992,Drama,Lead,81,R
Far and Away,Joseph Donnelly ,58883840,0,58883840,1992,Drama,Lead,50,PG-13
Days of Thunder,Cole Trickle ,78771268,75000000,153771268,1990,Action,Lead,38,PG-13
Born on the Fourth of July,Ron Kovic ,65441414,0,65441414,1989,Drama,Lead,90,R
Rain Man,Charlie Babbitt ,168106313,239974565,408080878,1988,Comedy,Lead,90,R
Cocktail,Brian Flanagan ,78222753,0,78222753,1988,Drama,Lead,5,R
The Color of Money,Vincent ,50159778,0,50159778,1986,Drama,Lead,90,R
Top Gun,Maverick ,179800601,177000000,356800601,1986,Action,Lead,54,PG
Legend,Jack ,15502112,8004125,23506237,1986,Adventure,Lead,48,PG
All the Right Moves,Stef ,16927805,0,16927805,1983,Drama,Lead,53,R
Risky Business,Joel Goodson ,63541777,0,63541777,1983,Comedy,Lead,96,R
Losin' It,Woody ,1246141,0,1246141,1983,Comedy,Lead,22,R
The Outsiders,Steve Randle ,25584680,0,25584680,1983,Drama,Supporting,65,PG-13
Taps,David Shawn ,35856053,0,35856053,1981,Drama,Supporting,75,PG
Endless Love,Billy ,33000000,0,33000000,1981,Drama,Supporting,25,R
